1402

Tuesday, March 29, 2022 3:34:27 PM


Pinging 1.0.0.1 with 1402 bytes of data:
Reply from 1.0.0.1: bytes=1402 time=21ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=22ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=15ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=17ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=34ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=17ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=15ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=40ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=47ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=16ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=19ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=19ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=39ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=16ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=47ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=16ms TTL=59
Reply from 1.0.0.1: bytes=1402 time=17ms TTL=59
